"","time","culture","cfu","eco","count","dilution","pop","popabc","relfreq","cycle","culture_type","r_dep"
"1",0,"MCF2",8e+05,"op",4,3,1,"a",0.444444444444444,2,"cf",1.9303648555203
"2",0,"MCF2",2e+05,"op",1,3,2,"b",0.333333333333333,2,"cf",1.79175946922805
"3",0,"MCF2",80000,"op",4,2,3,"c",0.117647058823529,2,"cf",1.90333124488516
"4",0,"MCF2",1e+06,"aux",5,3,1,"a",0.555555555555556,2,"cf",-1.9303648555203
"5",0,"MCF2",4e+05,"aux",2,3,2,"b",0.666666666666667,2,"cf",-1.79175946922805
"6",0,"MCF2",6e+05,"aux",3,3,3,"c",0.88235294117647,2,"cf",-1.90333124488516
"7",2,"MCF2",7.6e+08,"op",38,5,1,"a",0.974358974358974,2,"cf",1.69397607745607
"8",2,"MCF2",7.2e+08,"op",36,5,2,"b",0.947368421052632,2,"cf",0.654666659991881
"9",2,"MCF2",4.8e+08,"op",24,5,3,"c",0.857142857142857,2,"cf",0.549306144334055
"10",2,"MCF2",2e+07,"aux",1,5,1,"a",0.0256410256410256,2,"cf",-1.69397607745607
"11",2,"MCF2",4e+07,"aux",2,5,2,"b",0.0526315789473684,2,"cf",-0.654666659991881
"12",2,"MCF2",8e+07,"aux",4,5,3,"c",0.142857142857143,2,"cf",-0.549306144334055
"13",4,"MCF2",9e+08,"op",45,5,1,"a",0.99911190053286,2,"cf",-0.863610474045242
"14",4,"MCF2",4e+08,"op",20,5,2,"b",0.985221674876847,2,"cf",1.30134484272219
"15",4,"MCF2",3.6e+08,"op",18,5,3,"c",0.947368421052632,2,"cf",2.70183894110293
"16",4,"MCF2",8e+05,"aux",4,3,1,"a",0.00088809946714032,2,"cf",0.863610474045242
"17",4,"MCF2",6e+06,"aux",3,4,2,"b",0.0147783251231527,2,"cf",-1.30134484272219
"18",4,"MCF2",2e+07,"aux",1,5,3,"c",0.0526315789473684,2,"cf",-2.70183894110293
"19",6,"MCF2",2e+08,"op",1,6,1,"a",0.995024875621891,2,"cf",-1.36668400454325
"20",6,"MCF2",1.8e+08,"op",9,5,2,"b",0.99889012208657,2,"cf",-2.04717228111105
"21",6,"MCF2",8e+08,"op",4,6,3,"c",0.999750062484379,2,"cf",-3.45387763949107
"22",6,"MCF2",1e+06,"aux",5,3,1,"a",0.00497512437810945,2,"cf",1.36668400454325
"23",6,"MCF2",2e+05,"aux",1,3,2,"b",0.00110987791342952,2,"cf",2.04717228111105
"24",6,"MCF2",2e+05,"aux",1,3,3,"c",0.000249937515621095,2,"cf",3.45387763949107
"25",8,"MCF2",5.2e+07,"op",26,4,1,"a",0.928571428571429,2,"cf",-0.131182132233746
"26",8,"MCF2",3e+07,"op",15,4,2,"b",0.9375,2,"cf",0.423648930193602
"27",8,"MCF2",2.4e+07,"op",12,4,3,"c",0.8,2,"cf",1.26286432215413
"28",8,"MCF2",4e+06,"aux",2,4,1,"a",0.0714285714285714,2,"cf",0.131182132233746
"29",8,"MCF2",2e+06,"aux",1,4,2,"b",0.0625,2,"cf",-0.423648930193602
"30",8,"MCF2",6e+06,"aux",3,4,3,"c",0.2,2,"cf",-1.26286432215413
"31",10,"MCF2",6e+08,"op",30,5,1,"a",0.909090909090909,2,"cf",0.549306144334055
"32",10,"MCF2",7e+08,"op",35,5,2,"b",0.972222222222222,2,"cf",-0.578726394345522
"33",10,"MCF2",1e+09,"op",50,5,3,"c",0.980392156862745,2,"cf",-0.111571775657105
"34",10,"MCF2",6e+07,"aux",3,5,1,"a",0.0909090909090909,2,"cf",-0.549306144334055
"35",10,"MCF2",2e+07,"aux",1,5,2,"b",0.0277777777777778,2,"cf",0.578726394345522
"36",10,"MCF2",2e+07,"aux",1,5,3,"c",0.0196078431372549,2,"cf",0.111571775657105
"37",12,"MCF2",6e+08,"op",30,5,1,"a",0.967741935483871,2,"cf",-1.25694709333063
"38",12,"MCF2",6.6e+08,"op",33,5,2,"b",0.916666666666667,2,"cf",-0.596961234236217
"39",12,"MCF2",8e+08,"op",40,5,3,"c",0.975609756097561,2,"cf",1.12564589930325
"40",12,"MCF2",2e+07,"aux",1,5,1,"a",0.032258064516129,2,"cf",1.25694709333063
"41",12,"MCF2",6e+07,"aux",3,5,2,"b",0.0833333333333333,2,"cf",0.596961234236217
"42",12,"MCF2",2e+07,"aux",1,5,3,"c",0.024390243902439,2,"cf",-1.12564589930325
"43",14,"MCF2",3.4e+08,"op",17,5,1,"a",0.708333333333333,2,"cf",0.0341041250132667
"44",14,"MCF2",4e+08,"op",20,5,2,"b",0.769230769230769,2,"cf",0.640466922731032
"45",14,"MCF2",7.6e+08,"op",38,5,3,"c",0.99737532808399,2,"cf",-1.497866136777
"46",14,"MCF2",1.4e+08,"aux",7,5,1,"a",0.291666666666667,2,"cf",-0.0341041250132667
"47",14,"MCF2",1.2e+08,"aux",6,5,2,"b",0.230769230769231,2,"cf",-0.640466922731032
"48",14,"MCF2",2e+06,"aux",0.1,5,3,"c",0.0026246719160105,2,"cf",1.497866136777
"49",16,"MCF2",2.6e+08,"op",13,5,1,"a",0.722222222222222,2,"cf",0.721191913885467
"50",16,"MCF2",2.4e+08,"op",12,5,2,"b",0.923076923076923,2,"cf",0.423648930193602
"51",16,"MCF2",3.8e+08,"op",19,5,3,"c",0.95,2,"cf",-0.320926943086197
"52",16,"MCF2",1e+08,"aux",5,5,1,"a",0.277777777777778,2,"cf",-0.721191913885467
"53",16,"MCF2",2e+07,"aux",1,5,2,"b",0.0769230769230769,2,"cf",-0.423648930193602
"54",16,"MCF2",2e+07,"aux",1,5,3,"c",0.05,2,"cf",0.320926943086197
"55",18,"MCF2",4.4e+08,"op",22,5,1,"a",0.916666666666667,2,"cf",-0.394228680182135
"56",18,"MCF2",5.6e+08,"op",28,5,2,"b",0.96551724137931,2,"cf",0.684137927808606
"57",18,"MCF2",2e+08,"op",10,5,3,"c",0.909090909090909,2,"cf",1.242453324894
"58",18,"MCF2",4e+07,"aux",2,5,1,"a",0.0833333333333333,2,"cf",0.394228680182135
"59",18,"MCF2",2e+07,"aux",1,5,2,"b",0.0344827586206897,2,"cf",-0.684137927808606
"60",18,"MCF2",2e+07,"aux",1,5,3,"c",0.0909090909090909,2,"cf",-1.242453324894
"61",20,"MCF2",2e+09,"op",10,6,1,"a",0.833333333333333,2,"cf",-0.255412811882995
"62",20,"MCF2",2.2e+09,"op",11,6,2,"b",0.990990990990991,2,"cf",-0.100335347731076
"63",20,"MCF2",2.4e+09,"op",12,6,3,"c",0.991735537190083,2,"cf",-0.0911607783969773
"64",20,"MCF2",4e+08,"aux",2,6,1,"a",0.166666666666667,2,"cf",0.255412811882995
"65",20,"MCF2",2e+07,"aux",0.1,6,2,"b",0.00900900900900901,2,"cf",0.100335347731076
"66",20,"MCF2",2e+07,"aux",0.1,6,3,"c",0.00826446280991736,2,"cf",0.0911607783969773
"67",22,"MCF2",1.2e+09,"op",6,6,1,"a",0.75,2,"cf",0.745827438388858
"68",22,"MCF2",1.8e+09,"op",9,6,2,"b",0.989010989010989,2,"cf",0.122561229016492
"69",22,"MCF2",2e+09,"op",10,6,3,"c",0.99009900990099,2,"cf",0.496625886505142
"70",22,"MCF2",4e+08,"aux",2,6,1,"a",0.25,2,"cf",-0.745827438388858
"71",22,"MCF2",2e+07,"aux",0.1,6,2,"b",0.010989010989011,2,"cf",-0.122561229016492
"72",22,"MCF2",2e+07,"aux",0.1,6,3,"c",0.0099009900990099,2,"cf",-0.496625886505142
"73",24,"MCF2",3.2e+08,"op",16,5,1,"a",0.930232558139535,2,"cf",0.370968672364689
"74",24,"MCF2",4.6e+08,"op",23,5,2,"b",0.991379310344828,2,"cf",0.251045971898618
"75",24,"MCF2",5.4e+08,"op",27,5,3,"c",0.996309963099631,2,"cf",-0.102397206323007
"76",24,"MCF2",2.4e+07,"aux",12,4,1,"a",0.0697674418604651,2,"cf",-0.370968672364689
"77",24,"MCF2",4e+06,"aux",2,4,2,"b",0.00862068965517241,2,"cf",-0.251045971898618
"78",24,"MCF2",2e+06,"aux",1,4,3,"c",0.003690036900369,2,"cf",0.102397206323007
"79",26,"MCF2",5.6e+08,"op",28,5,1,"a",0.96551724137931,2,"cf",-0.115555860481693
"80",26,"MCF2",3.8e+08,"op",19,5,2,"b",0.994764397905759,2,"cf",0.739204825013848
"81",26,"MCF2",4.4e+08,"op",22,5,3,"c",0.995475113122172,2,"cf",1.29646869700085
"82",26,"MCF2",2e+07,"aux",10,4,1,"a",0.0344827586206897,2,"cf",0.115555860481693
"83",26,"MCF2",2e+06,"aux",1,4,2,"b",0.00523560209424084,2,"cf",-0.739204825013848
"84",26,"MCF2",2e+06,"aux",1,4,3,"c",0.00452488687782805,2,"cf",-1.29646869700085
"85",28,"MCF2",4e+08,"op",2,6,1,"a",0.956937799043062,2,"cf",0.121473089305195
"86",28,"MCF2",1e+09,"op",5,6,2,"b",0.998801438274071,2,"cf",-0.346573590279973
"87",28,"MCF2",1e+09,"op",5,6,3,"c",0.999660115560709,2,"cf",-0.79481764256896
"88",28,"MCF2",1.8e+07,"aux",9,4,1,"a",0.0430622009569378,2,"cf",-0.121473089305195
"89",28,"MCF2",1200000,"aux",6,3,2,"b",0.00119856172592889,2,"cf",0.346573590279973
"90",28,"MCF2",340000,"aux",17,2,3,"c",0.000339884439290641,2,"cf",0.79481764256896
"91",30,"MCF2",3.4e+08,"op",17,5,1,"a",0.965909090909091,2,"cf",-0.429566159017103
"92",30,"MCF2",5e+08,"op",25,5,2,"b",0.997605746209098,2,"cf",0.29389333245106
"93",30,"MCF2",3.6e+08,"op",18,5,3,"c",0.998336106489185,2,"cf",0.822902778302488
"94",30,"MCF2",1.2e+07,"aux",6,4,1,"a",0.0340909090909091,2,"cf",0.429566159017103
"95",30,"MCF2",1200000,"aux",6,3,2,"b",0.00239425379090184,2,"cf",-0.29389333245106
"96",30,"MCF2",6e+05,"aux",3,3,3,"c",0.00166389351081531,2,"cf",-0.822902778302488
"97",32,"MCF2",2.4e+08,"op",12,5,1,"a",0.923076923076923,2,"cf",1.06013176810005
"98",32,"MCF2",3e+08,"op",15,5,2,"b",0.99866844207723,2,"cf",0.119445954141174
"99",32,"MCF2",5.6e+08,"op",28,5,3,"c",0.9996786747117,2,"cf",-1.71878251291652
"100",32,"MCF2",2e+07,"aux",1,5,1,"a",0.0769230769230769,2,"cf",-1.06013176810005
"101",32,"MCF2",4e+05,"aux",2,3,2,"b",0.00133155792276964,2,"cf",-0.119445954141174
"102",32,"MCF2",180000,"aux",9,2,3,"c",0.000321325288300189,2,"cf",1.71878251291652
"103",34,"MCF2",6e+08,"op",3,6,1,"a",0.99009900990099,2,"cf",0
"104",34,"MCF2",4e+08,"op",2,6,2,"b",0.998951101343589,2,"cf",1.17568762858174
"105",34,"MCF2",2e+08,"op",1,6,3,"c",0.99009900990099,2,"cf",1.95601150271407
"106",34,"MCF2",6e+06,"aux",3,4,1,"a",0.0099009900990099,2,"cf",0
"107",34,"MCF2",420000,"aux",21,2,2,"b",0.00104889865641077,2,"cf",-1.17568762858174
"108",34,"MCF2",2e+06,"aux",1,4,3,"c",0.0099009900990099,2,"cf",-1.95601150271407
"109",36,"MCF2",4e+08,"op",2,6,1,"a",0.99009900990099,2,"cf",0.693147180559945
"110",36,"MCF2",1e+09,"op",5,6,2,"b",0.999900009999,2,"cf",-2.30258509299405
"111",36,"MCF2",2e+08,"op",1,6,3,"c",0.999800039992002,2,"cf",0.346573590279973
"112",36,"MCF2",4e+06,"aux",20,3,1,"a",0.0099009900990099,2,"cf",-0.693147180559945
"113",36,"MCF2",1e+05,"aux",5,2,2,"b",9.99900009999e-05,2,"cf",2.30258509299405
"114",36,"MCF2",40000,"aux",2,2,3,"c",0.0001999600079984,2,"cf",-0.346573590279973
"115",38,"MCF2",8e+08,"op",4,6,1,"a",0.997506234413965,2,"cf",0
"116",38,"MCF2",2e+07,"op",0.1,6,2,"b",0.99009900990099,2,"cf",3.80045122977104
"117",38,"MCF2",4e+08,"op",2,6,3,"c",0.999900009999,2,"cf",1.15129254649702
"118",38,"MCF2",2e+06,"aux",1,4,1,"a",0.00249376558603491,2,"cf",0
"119",38,"MCF2",2e+05,"aux",1,3,2,"b",0.0099009900990099,2,"cf",-3.80045122977104
"120",38,"MCF2",40000,"aux",2,2,3,"c",9.99900009999e-05,2,"cf",-1.15129254649702
"121",40,"MCF2",4e+08,"op",2,6,1,"a",0.997506234413965,2,"cf",-1.79175946922805
"122",40,"MCF2",4e+09,"op",2,7,2,"b",0.999995000025,2,"cf",-2.64915868327402
"123",40,"MCF2",2e+09,"op",1,7,3,"c",0.999990000099999,2,"cf",0.370968672364689
"124",40,"MCF2",1e+06,"aux",5,3,1,"a",0.00249376558603491,2,"cf",1.79175946922805
"125",40,"MCF2",20000,"aux",0.1,3,2,"b",4.999975000125e-06,2,"cf",2.64915868327402
"126",40,"MCF2",20000,"aux",0.1,3,3,"c",9.99990000099999e-06,2,"cf",-0.370968672364689
"127",42,"MCF2",2e+07,"op",0.1,6,1,"a",0.91743119266055,2,"cf",3.42559246374687
"128",42,"MCF2",2e+07,"op",0.1,6,2,"b",0.999000999000999,2,"cf",-1.15129254649702
"129",42,"MCF2",4.2e+09,"op",21,6,3,"c",0.999995238117914,2,"cf",-0.626381484247684
"130",42,"MCF2",1800000,"aux",9,3,1,"a",0.0825688073394495,2,"cf",-3.42559246374687
"131",42,"MCF2",20000,"aux",0.1,3,2,"b",0.000999000999000999,2,"cf",1.15129254649702
"132",42,"MCF2",20000,"aux",0.1,3,3,"c",4.76188208627578e-06,2,"cf",0.626381484247684
"133",44,"MCF2",4.2e+09,"op",21,6,1,"a",0.999904770974193,2,"cf",-2.07156736319577
"134",44,"MCF2",2e+07,"op",0.1,6,2,"b",0.99009900990099,2,"cf",2.30258509299405
"135",44,"MCF2",1.2e+09,"op",6,6,3,"c",0.999983333611106,2,"cf",0.255412811882995
"136",44,"MCF2",4e+05,"aux",2,3,1,"a",9.5229025807066e-05,2,"cf",2.07156736319577
"137",44,"MCF2",2e+05,"aux",1,3,2,"b",0.0099009900990099,2,"cf",-2.30258509299405
"138",44,"MCF2",20000,"aux",0.1,3,3,"c",1.66663888935184e-05,2,"cf",-0.255412811882995
"139",46,"MCF2",1e+09,"op",5,6,1,"a",0.99403578528827,2,"cf",0.895879734614027
"140",46,"MCF2",2e+09,"op",10,6,2,"b",0.999900009999,2,"cf",0.458145365937077
"141",46,"MCF2",2e+09,"op",1,7,3,"c",0.999990000099999,2,"cf",-1.75327894865999
"142",46,"MCF2",6e+06,"aux",3,4,1,"a",0.00596421471172962,2,"cf",-0.895879734614027
"143",46,"MCF2",2e+05,"aux",1,3,2,"b",9.99900009999e-05,2,"cf",-0.458145365937077
"144",46,"MCF2",20000,"aux",1,2,3,"c",9.99990000099999e-06,2,"cf",1.75327894865999
"145",48,"MCF2",1.2e+09,"op",6,6,1,"a",0.999000999000999,2,"cf",-1.15129254649702
"146",48,"MCF2",2e+09,"op",1,7,2,"b",0.999960001599936,2,"cf",-1.06013176810005
"147",48,"MCF2",6e+08,"op",3,6,3,"c",0.999666777740753,2,"cf",0.601986402162968
"148",48,"MCF2",1200000,"aux",6,3,1,"a",0.000999000999000999,2,"cf",1.15129254649702
"149",48,"MCF2",80000,"aux",4,2,2,"b",3.99984000639974e-05,2,"cf",1.06013176810005
"150",48,"MCF2",2e+05,"aux",1,3,3,"c",0.000333222259246918,2,"cf",-0.601986402162968
"151",50,"MCF2",2e+08,"op",1,6,1,"a",0.99009900990099,2,"cf",0
"152",50,"MCF2",6e+08,"op",3,6,2,"b",0.999666777740753,2,"cf",-0.920274816698744
"153",50,"MCF2",2e+08,"op",1,6,3,"c",0.999900009999,2,"cf",-1.497866136777
"154",50,"MCF2",2e+06,"aux",1,4,1,"a",0.0099009900990099,2,"cf",0
"155",50,"MCF2",2e+05,"aux",1,3,2,"b",0.000333222259246918,2,"cf",0.920274816698744
"156",50,"MCF2",20000,"aux",0.1,3,3,"c",9.99900009999e-05,2,"cf",1.497866136777
"157",52,"MCF2",2e+09,"op",1,7,1,"a",0.99009900990099,2,"cf",0.314304329711187
"158",52,"MCF2",2e+08,"op",0.1,7,2,"b",0.997904400758407,2,"cf",-0.780323874132334
"159",52,"MCF2",2e+08,"op",1,6,3,"c",0.998003992015968,2,"cf",0.346573590279973
"160",52,"MCF2",2e+07,"aux",1,5,1,"a",0.0099009900990099,2,"cf",-0.314304329711187
"161",52,"MCF2",420000,"aux",21,2,2,"b",0.00209559924159266,2,"cf",0.780323874132334
"162",52,"MCF2",4e+05,"aux",2,3,3,"c",0.00199600798403194,2,"cf",-0.346573590279973
"163",54,"MCF2",3e+09,"op",15,6,1,"a",0.994694960212202,2,"cf",-0.111571775657105
"164",54,"MCF2",2e+07,"op",0.1,6,2,"b",0.99009900990099,2,"cf",2.04717228111105
"165",54,"MCF2",2e+08,"op",1,6,3,"c",0.999000999000999,2,"cf",1.00745151027113
"166",54,"MCF2",1.6e+07,"aux",8,4,1,"a",0.00530503978779841,2,"cf",0.111571775657105
